d,t,s,u_flip,L14_a2.0_flip,L14_a4.0_flip,L21_a2.0_flip,L21_a4.0_flip,L27_a2.0_flip,L27_a4.0_flip
8,0.5,42,False,False,True,False,False,True,True
11,0.5,42,False,,False,False,True,False,False
15,0.5,42,True,,False,False,True,True,False
19,0.5,42,True,False,False,False,True,False,False
21,0.5,42,True,True,True,True,True,True,True
22,0.5,42,False,False,False,False,False,,False
23,0.5,42,False,False,,False,False,False,False
24,0.5,42,False,True,True,True,,False,False
29,0.5,42,True,False,True,False,False,True,True
36,0.5,42,True,False,False,False,False,True,True
39,0.5,42,True,False,False,False,True,False,False
41,0.5,42,False,False,False,False,True,False,True
43,0.5,42,True,True,True,True,False,False,True
49,0.5,42,True,False,False,True,True,False,True
52,0.5,42,True,True,False,True,True,False,True
3,0.5,123,True,True,,False,True,True,True
8,0.5,123,False,True,True,False,False,True,True
11,0.5,123,False,True,False,True,True,False,True
15,0.5,123,True,False,True,True,True,False,
19,0.5,123,,True,False,False,False,False,False
21,0.5,123,True,True,True,True,True,True,True
22,0.5,123,False,False,False,False,True,False,False
23,0.5,123,False,False,False,False,False,False,False
29,0.5,123,True,False,False,False,False,True,False
36,0.5,123,True,False,False,False,True,True,True
39,0.5,123,False,False,False,False,False,False,False
41,0.5,123,True,False,False,False,True,False,False
43,0.5,123,False,False,False,False,False,False,False
49,0.5,123,True,True,True,True,True,True,True
52,0.5,123,False,False,False,False,False,False,False
11,0.5,456,False,True,False,False,False,False,True
15,0.5,456,False,False,,False,,,True
19,0.5,456,False,True,False,True,False,False,False
21,0.5,456,True,True,True,True,True,True,True
22,0.5,456,False,False,False,False,False,False,False
23,0.5,456,,False,True,False,False,False,False
24,0.5,456,False,False,False,False,False,False,False
29,0.5,456,False,False,True,False,False,True,True
36,0.5,456,False,False,True,True,True,False,True
39,0.5,456,True,False,False,False,False,,True
41,0.5,456,False,False,True,False,False,False,False
43,0.5,456,False,False,False,False,True,False,False
49,0.5,456,False,False,True,False,True,False,True
52,0.5,456,False,False,True,True,False,False,False
3,0.6,42,False,False,True,False,True,True,True
8,0.6,42,True,False,False,True,False,True,False
11,0.6,42,True,True,False,True,True,False,True
15,0.6,42,,False,True,True,False,,
19,0.6,42,False,,True,,False,False,
21,0.6,42,False,True,True,True,True,True,True
22,0.6,42,False,False,False,False,True,False,False
23,0.6,42,False,False,False,False,False,False,False
24,0.6,42,True,True,True,True,True,True,True
29,0.6,42,True,False,False,False,False,True,False
36,0.6,42,True,False,False,False,True,True,False
39,0.6,42,False,True,False,False,False,False,False
41,0.6,42,False,True,False,False,False,False,False
43,0.6,42,True,False,True,True,True,False,False
49,0.6,42,False,False,False,False,False,False,False
52,0.6,42,True,True,True,False,False,False,False
3,0.6,123,False,True,True,True,False,True,True
8,0.6,123,False,True,False,False,True,False,False
11,0.6,123,False,,True,False,True,False,False
15,0.6,123,True,False,,True,False,False,False
19,0.6,123,False,False,False,True,False,False,False
21,0.6,123,True,True,True,True,True,True,True
22,0.6,123,True,False,False,False,True,False,False
23,0.6,123,False,False,False,False,False,False,False
24,0.6,123,False,False,False,False,,False,False
29,0.6,123,False,True,False,False,False,False,False
36,0.6,123,False,False,False,True,False,False,True
39,0.6,123,False,False,True,False,False,False,True
41,0.6,123,False,False,False,True,False,False,False
43,0.6,123,,False,True,False,False,True,False
49,0.6,123,False,False,False,False,True,True,False
52,0.6,123,True,False,False,False,True,False,False
3,0.6,456,True,True,True,True,True,True,True
8,0.6,456,False,False,False,False,False,False,False
11,0.6,456,False,True,False,False,False,False,True
15,0.6,456,True,False,False,False,False,False,False
19,0.6,456,True,False,False,False,,False,False
21,0.6,456,False,False,True,False,True,True,True
22,0.6,456,False,False,False,False,False,True,False
23,0.6,456,False,True,False,False,False,False,False
24,0.6,456,,False,True,False,False,False,False
29,0.6,456,True,True,False,True,False,False,True
36,0.6,456,True,True,False,False,True,True,False
39,0.6,456,False,,False,False,True,False,
41,0.6,456,True,True,False,False,False,False,True
43,0.6,456,True,True,False,True,False,False,False
49,0.6,456,False,False,False,True,False,True,False
52,0.6,456,False,False,False,False,,False,False
3,0.7,42,,False,False,True,True,False,True
8,0.7,42,True,False,False,False,False,True,False
11,0.7,42,True,False,False,False,False,False,True
15,0.7,42,,False,False,False,,False,True
19,0.7,42,False,False,False,False,True,,False
21,0.7,42,True,False,True,True,True,True,False
22,0.7,42,False,True,False,False,False,False,False
23,0.7,42,False,False,False,False,False,False,False
24,0.7,42,False,False,False,False,False,False,False
29,0.7,42,False,False,True,False,True,False,False
36,0.7,42,False,,False,False,True,True,True
39,0.7,42,False,False,False,False,True,False,False
41,0.7,42,False,False,False,False,False,True,True
43,0.7,42,False,True,True,False,False,True,False
49,0.7,42,True,False,False,True,True,,True
52,0.7,42,False,True,True,True,False,True,True
3,0.7,123,False,False,,True,True,False,True
8,0.7,123,False,True,False,True,False,True,False
11,0.7,123,False,True,True,True,False,True,True
15,0.7,123,False,True,False,True,False,False,False
19,0.7,123,False,False,True,False,False,False,False
21,0.7,123,True,True,False,True,True,False,True
22,0.7,123,False,False,False,False,True,False,False
23,0.7,123,False,False,,False,False,False,False
29,0.7,123,True,True,True,True,True,True,True
36,0.7,123,True,False,False,False,True,True,False
39,0.7,123,False,False,False,False,False,True,False
41,0.7,123,False,False,False,False,True,False,False
43,0.7,123,False,,False,False,True,False,False
49,0.7,123,False,,True,False,False,False,False
52,0.7,123,True,False,,True,False,True,True
8,0.7,456,False,False,False,False,True,True,False
11,0.7,456,True,False,False,False,False,False,False
15,0.7,456,True,False,False,,False,True,
19,0.7,456,False,True,True,False,False,False,False
21,0.7,456,True,True,True,True,True,True,True
22,0.7,456,False,False,False,False,False,,False
23,0.7,456,False,False,False,False,False,False,False
24,0.7,456,False,,False,,,False,
29,0.7,456,True,False,False,True,False,False,True
36,0.7,456,False,False,False,False,False,False,True
39,0.7,456,True,False,False,False,False,False,False
41,0.7,456,False,False,False,True,True,False,False
43,0.7,456,True,False,False,True,False,False,False
49,0.7,456,False,False,True,True,True,True,False
52,0.7,456,False,False,False,True,False,False,False
