Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,1,,0.5,1,3.9,3.33,3.25,3.67,2.62
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,1,,0.5,2,3.7,3.22,3.38,3.78,2.88
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,1,,0.5,3,3.8,3.56,3.62,3.56,3.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,1,,0.6,1,3.6,3.67,3.25,3.67,2.75
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,1,,0.6,2,3.7,3.33,3.38,3.22,3.12
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,1,,0.6,3,3.4,3.44,3.38,3.78,3.25
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,1,,0.7,1,4.0,3.67,3.5,3.33,3.38
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,1,,0.7,2,3.9,3.67,3.38,3.22,3.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,1,,0.7,3,3.7,3.56,3.25,3.89,2.88
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,2,You are a helpful assistant.,0.5,1,3.7,3.33,3.38,3.44,3.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,2,You are a helpful assistant.,0.5,2,3.7,3.11,3.25,3.33,3.12
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,2,You are a helpful assistant.,0.5,3,3.7,3.22,2.88,3.67,3.12
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,2,You are a helpful assistant.,0.6,1,3.3,3.33,3.5,3.78,3.38
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,2,You are a helpful assistant.,0.6,2,3.5,3.44,3.38,3.56,2.88
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,2,You are a helpful assistant.,0.6,3,4.1,3.67,3.5,3.67,2.75
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,2,You are a helpful assistant.,0.7,1,4.1,3.56,3.12,3.44,3.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,2,You are a helpful assistant.,0.7,2,3.6,3.44,3.25,3.44,3.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,2,You are a helpful assistant.,0.7,3,4.1,3.44,3.38,3.67,3.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,3,Respond to the instructions.,0.5,1,3.4,3.67,3.62,3.67,3.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,3,Respond to the instructions.,0.5,2,3.8,3.44,3.25,3.67,3.12
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,3,Respond to the instructions.,0.5,3,4.0,3.56,3.38,3.44,3.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,3,Respond to the instructions.,0.6,1,3.7,3.44,3.25,3.56,3.25
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,3,Respond to the instructions.,0.6,2,3.6,3.11,3.38,3.44,3.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,3,Respond to the instructions.,0.6,3,3.9,3.33,3.25,3.22,3.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,3,Respond to the instructions.,0.7,1,3.8,3.33,3.5,3.78,2.75
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,3,Respond to the instructions.,0.7,2,3.8,3.44,3.62,3.44,3.38
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,baseline,3,Respond to the instructions.,0.7,3,3.8,3.56,3.25,3.56,2.88
