model,is_reasoning,persona_name,persona_index,system_prompt,temperature,seed,run,dilemma_id,dilemma_category,step1_answer,step2_answer,flipped,step1_parse_failed,step2_parse_failed,step1_thinking_length,step2_thinking_length
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,1,Personal-Instrumental,yes,no,True,False,False,700,994
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,2,Impersonal-Accidental,yes,yes,False,False,False,564,748
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,3,Personal-Accidental,yes,yes,False,False,False,817,779
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,4,Impersonal-Accidental,yes,yes,False,False,False,497,695
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,5,Personal-Accidental,yes,yes,False,False,False,592,616
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,6,Impersonal-Accidental,yes,yes,False,False,False,541,447
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,7,Personal-Instrumental,yes,yes,False,False,False,543,408
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,8,Impersonal-Instrumental,yes,yes,False,False,False,721,657
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,9,Personal-Instrumental,yes,yes,False,False,False,691,419
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,10,Impersonal-Instrumental,yes,yes,False,False,False,656,529
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,11,Personal-Instrumental,yes,yes,False,False,False,608,520
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,12,Impersonal-Instrumental,yes,yes,False,False,False,600,442
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,13,Personal-Instrumental,yes,yes,False,False,False,586,741
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,14,Impersonal-Instrumental,yes,yes,False,False,False,846,507
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,15,Personal-Accidental,yes,yes,False,False,False,717,898
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,16,Impersonal-Accidental,yes,yes,False,False,False,525,541
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,17,Personal-Instrumental,yes,yes,False,False,False,781,446
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,18,Impersonal-Accidental,yes,yes,False,False,False,662,605
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,19,Personal-Instrumental,yes,yes,False,False,False,355,562
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,20,Impersonal-Instrumental,yes,yes,False,False,False,472,384
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,21,Personal-Instrumental,yes,yes,False,False,False,632,456
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,22,Impersonal-Instrumental,yes,no,True,False,False,365,442
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,23,Personal-Accidental,yes,yes,False,False,False,528,554
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,24,Impersonal-Accidental,yes,yes,False,False,False,586,735
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,25,Personal-Instrumental,no,no,False,False,False,431,625
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,26,Impersonal-Instrumental,no,,,False,True,792,1267
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,27,Personal-Accidental,yes,yes,False,False,False,545,687
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,28,Impersonal-Accidental,yes,yes,False,False,False,503,637
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,29,Personal-Accidental,yes,yes,False,False,False,553,564
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,30,Impersonal-Accidental,no,yes,True,False,False,527,415
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,31,Personal-Instrumental,yes,yes,False,False,False,509,534
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,32,Impersonal-Accidental,yes,yes,False,False,False,545,595
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,33,Personal-Instrumental,yes,yes,False,False,False,633,473
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,34,Impersonal-Instrumental,yes,yes,False,False,False,619,532
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,35,Personal-Instrumental,yes,yes,False,False,False,459,688
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,36,Impersonal-Instrumental,yes,yes,False,False,False,678,536
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,37,Personal-Instrumental,yes,yes,False,False,False,401,484
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,38,Impersonal-Instrumental,yes,yes,False,False,False,484,318
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,39,Personal-Instrumental,yes,yes,False,False,False,531,440
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,40,Impersonal-Accidental,yes,yes,False,False,False,516,563
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,41,Personal-Instrumental,yes,yes,False,False,False,502,938
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,42,Impersonal-Accidental,yes,yes,False,False,False,767,573
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,43,Personal-Instrumental,yes,yes,False,False,False,755,628
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,44,Impersonal-Instrumental,yes,yes,False,False,False,860,804
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,45,Personal-Accidental,no,yes,True,False,False,904,510
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,46,Impersonal-Instrumental,yes,yes,False,False,False,1035,694
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,47,Personal-Instrumental,no,no,False,False,False,649,823
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,48,Impersonal-Instrumental,yes,no,True,False,False,624,678
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,49,Personal-Others Beneficial-Inevitable (instrumental),no,yes,True,False,False,636,492
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,50,Impersonal-Others Beneficial-Inevitable (instrumental),yes,yes,False,False,False,539,597
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,51,Personal-Others Beneficial-Avoidable (instrumental),yes,yes,False,False,False,423,641
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,42,1,52,Impersonal-Others Beneficial-Avoidable (instrumental),yes,yes,False,False,False,373,534
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,1,Personal-Instrumental,yes,yes,False,False,False,639,415
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,2,Impersonal-Accidental,yes,yes,False,False,False,624,618
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,3,Personal-Accidental,yes,,,False,True,1096,1279
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,4,Impersonal-Accidental,,,,True,True,1227,0
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,5,Personal-Accidental,yes,yes,False,False,False,879,759
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,6,Impersonal-Accidental,yes,yes,False,False,False,601,665
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,7,Personal-Instrumental,yes,yes,False,False,False,506,601
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,8,Impersonal-Instrumental,yes,yes,False,False,False,525,513
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,9,Personal-Instrumental,yes,yes,False,False,False,818,412
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,10,Impersonal-Instrumental,yes,yes,False,False,False,648,686
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,11,Personal-Instrumental,yes,yes,False,False,False,797,403
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,12,Impersonal-Instrumental,yes,,,False,True,556,1218
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,13,Personal-Instrumental,yes,yes,False,False,False,619,578
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,14,Impersonal-Instrumental,yes,no,True,False,False,505,670
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,15,Personal-Accidental,,,,True,True,1259,0
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,16,Impersonal-Accidental,yes,yes,False,False,False,505,803
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,17,Personal-Instrumental,yes,yes,False,False,False,504,515
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,18,Impersonal-Accidental,yes,yes,False,False,False,805,525
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,19,Personal-Instrumental,yes,yes,False,False,False,749,693
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,20,Impersonal-Instrumental,yes,yes,False,False,False,632,587
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,21,Personal-Instrumental,yes,yes,False,False,False,448,431
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,22,Impersonal-Instrumental,yes,yes,False,False,False,402,513
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,23,Personal-Accidental,yes,yes,False,False,False,471,580
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,24,Impersonal-Accidental,yes,yes,False,False,False,618,620
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,25,Personal-Instrumental,yes,no,True,False,False,494,752
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,26,Impersonal-Instrumental,,,,True,True,1240,0
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,27,Personal-Accidental,yes,yes,False,False,False,724,661
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,28,Impersonal-Accidental,yes,yes,False,False,False,338,589
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,29,Personal-Accidental,yes,yes,False,False,False,867,813
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,30,Impersonal-Accidental,yes,no,True,False,False,691,465
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,31,Personal-Instrumental,yes,yes,False,False,False,759,639
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,32,Impersonal-Accidental,yes,yes,False,False,False,564,681
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,33,Personal-Instrumental,yes,yes,False,False,False,545,427
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,34,Impersonal-Instrumental,yes,yes,False,False,False,812,573
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,35,Personal-Instrumental,yes,yes,False,False,False,703,415
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,36,Impersonal-Instrumental,yes,yes,False,False,False,300,824
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,37,Personal-Instrumental,yes,yes,False,False,False,584,1170
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,38,Impersonal-Instrumental,yes,yes,False,False,False,350,430
deepseek-r1-distill-llama-8b,True,empty,1,,0.5,123,2,39,Personal-Instrumental,yes,yes,False,False,False,657,657
