d,t,s,a1,u,st
8,0.5,42,yes,False,False
11,0.5,42,yes,False,True
15,0.5,42,yes,True,False
19,0.5,42,yes,True,False
21,0.5,42,yes,True,True
22,0.5,42,yes,False,False
23,0.5,42,yes,False,False
24,0.5,42,yes,False,False
29,0.5,42,yes,True,False
36,0.5,42,yes,True,False
39,0.5,42,yes,True,False
41,0.5,42,yes,False,True
43,0.5,42,yes,True,False
49,0.5,42,yes,True,
52,0.5,42,yes,True,False
3,0.5,123,yes,True,True
8,0.5,123,yes,False,False
11,0.5,123,yes,False,False
15,0.5,123,yes,True,True
19,0.5,123,yes,,False
21,0.5,123,no,True,True
22,0.5,123,yes,False,False
23,0.5,123,yes,False,False
29,0.5,123,yes,True,False
36,0.5,123,yes,True,True
39,0.5,123,yes,False,False
41,0.5,123,yes,True,False
43,0.5,123,yes,False,False
49,0.5,123,no,True,True
52,0.5,123,yes,False,False
11,0.5,456,yes,False,False
15,0.5,456,yes,False,
19,0.5,456,yes,False,False
21,0.5,456,yes,True,True
22,0.5,456,yes,False,False
23,0.5,456,yes,,False
24,0.5,456,yes,False,
29,0.5,456,yes,False,True
36,0.5,456,yes,False,False
39,0.5,456,yes,True,False
41,0.5,456,yes,False,False
43,0.5,456,yes,False,False
49,0.5,456,yes,False,True
52,0.5,456,yes,False,False
3,0.6,42,yes,False,
8,0.6,42,yes,True,True
11,0.6,42,yes,True,False
15,0.6,42,yes,,
19,0.6,42,yes,False,True
21,0.6,42,yes,False,True
22,0.6,42,yes,False,False
23,0.6,42,yes,False,
24,0.6,42,no,True,True
29,0.6,42,yes,True,False
36,0.6,42,yes,True,True
39,0.6,42,yes,False,False
41,0.6,42,yes,False,False
43,0.6,42,yes,True,False
49,0.6,42,yes,False,False
52,0.6,42,yes,True,False
3,0.6,123,yes,False,False
8,0.6,123,yes,False,True
11,0.6,123,yes,False,True
15,0.6,123,yes,True,False
19,0.6,123,yes,False,True
21,0.6,123,no,True,True
22,0.6,123,yes,True,True
23,0.6,123,yes,False,False
24,0.6,123,yes,False,False
29,0.6,123,yes,False,False
36,0.6,123,yes,False,True
39,0.6,123,yes,False,True
41,0.6,123,yes,False,True
43,0.6,123,yes,,False
49,0.6,123,yes,False,False
52,0.6,123,yes,True,False
3,0.6,456,no,True,True
8,0.6,456,yes,False,False
11,0.6,456,yes,False,True
15,0.6,456,yes,True,False
19,0.6,456,yes,True,True
21,0.6,456,no,False,True
22,0.6,456,yes,False,False
23,0.6,456,yes,False,False
24,0.6,456,yes,,
29,0.6,456,yes,True,False
36,0.6,456,yes,True,False
39,0.6,456,yes,False,False
41,0.6,456,yes,True,False
43,0.6,456,yes,True,False
49,0.6,456,yes,False,False
52,0.6,456,yes,False,False
3,0.7,42,yes,,True
8,0.7,42,yes,True,True
11,0.7,42,yes,True,True
15,0.7,42,yes,,
19,0.7,42,yes,False,False
21,0.7,42,yes,True,True
22,0.7,42,yes,False,False
23,0.7,42,yes,False,False
24,0.7,42,yes,False,False
29,0.7,42,yes,False,False
36,0.7,42,yes,False,True
39,0.7,42,yes,False,False
41,0.7,42,yes,False,False
43,0.7,42,yes,False,True
49,0.7,42,yes,True,True
52,0.7,42,yes,False,True
3,0.7,123,yes,False,True
8,0.7,123,yes,False,False
11,0.7,123,yes,False,False
15,0.7,123,yes,False,False
19,0.7,123,yes,False,True
21,0.7,123,yes,True,True
22,0.7,123,yes,False,False
23,0.7,123,yes,False,False
29,0.7,123,no,True,True
36,0.7,123,yes,True,False
39,0.7,123,yes,False,False
41,0.7,123,yes,False,False
43,0.7,123,yes,False,False
49,0.7,123,yes,False,True
52,0.7,123,yes,True,False
8,0.7,456,yes,False,True
11,0.7,456,yes,True,True
15,0.7,456,yes,True,False
19,0.7,456,yes,False,
21,0.7,456,yes,True,False
22,0.7,456,yes,False,False
23,0.7,456,yes,False,False
24,0.7,456,yes,False,False
29,0.7,456,yes,True,True
36,0.7,456,yes,False,True
39,0.7,456,yes,True,False
41,0.7,456,yes,False,False
43,0.7,456,yes,True,False
49,0.7,456,yes,False,False
52,0.7,456,yes,False,True
