model,is_reasoning,persona_name,persona_index,system_prompt,temperature,seed,run,source_condition,dilemma_id,dilemma_category,step1_answer,step2_answer,flipped,step1_parse_failed,step2_parse_failed,step1_thinking_length,step2_thinking_length
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,1,,yes,yes,False,False,False,528,910
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,2,,yes,no,True,False,False,631,794
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,3,,yes,no,True,False,False,954,1008
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,4,,,,,True,True,1312,0
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,5,,yes,yes,False,False,False,472,717
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,6,,yes,yes,False,False,False,437,557
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,7,,yes,no,True,False,False,668,817
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,8,,yes,no,True,False,False,672,801
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,9,,no,yes,True,False,False,814,668
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,10,,no,yes,True,False,False,378,961
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,11,,yes,,,False,True,574,1254
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,12,,yes,,,False,True,760,1234
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,13,,yes,yes,False,False,False,840,831
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,14,,yes,yes,False,False,False,534,453
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,15,,yes,no,True,False,False,778,439
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,16,,yes,yes,False,False,False,894,634
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,17,,yes,yes,False,False,False,709,729
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,18,,yes,yes,False,False,False,377,633
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,19,,yes,,,False,True,371,1289
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,20,,yes,no,True,False,False,351,724
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,21,,no,yes,True,False,False,593,418
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,22,,yes,yes,False,False,False,599,960
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,23,,yes,yes,False,False,False,440,780
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,24,,yes,yes,False,False,False,1225,627
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,25,,yes,no,True,False,False,615,464
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,26,,yes,,,False,True,1040,1258
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,27,,yes,yes,False,False,False,508,679
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,28,,yes,yes,False,False,False,574,1196
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,29,,yes,yes,False,False,False,554,854
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,30,,yes,no,True,False,False,618,741
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,31,,yes,yes,False,False,False,637,696
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,32,,yes,no,True,False,False,405,665
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,33,,yes,no,True,False,False,533,709
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,34,,yes,yes,False,False,False,570,1114
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,35,,yes,yes,False,False,False,360,791
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,36,,yes,yes,False,False,False,407,612
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,37,,yes,yes,False,False,False,658,779
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,38,,yes,yes,False,False,False,432,571
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,39,,yes,no,True,False,False,1027,663
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,40,,yes,yes,False,False,False,400,684
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,41,,yes,,,False,True,432,1256
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,42,,yes,no,True,False,False,718,765
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,43,,yes,yes,False,False,False,327,578
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,44,,yes,yes,False,False,False,575,693
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,45,,yes,no,True,False,False,542,936
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,46,,yes,no,True,False,False,526,815
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,47,,no,yes,True,False,False,583,513
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,48,,yes,no,True,False,False,571,997
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,49,,no,yes,True,False,False,1006,373
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,50,,yes,yes,False,False,False,572,479
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,51,,yes,yes,False,False,False,627,415
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,42,1,impersonal,52,,yes,no,True,False,False,563,510
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,1,,yes,no,True,False,False,683,674
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,2,,yes,yes,False,False,False,524,714
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,3,,,,,True,True,1324,0
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,4,,no,no,False,False,False,728,624
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,5,,yes,yes,False,False,False,718,483
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,6,,yes,,,False,True,1010,1221
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,7,,yes,yes,False,False,False,789,674
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,8,,yes,yes,False,False,False,595,991
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,9,,yes,no,True,False,False,1185,634
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,10,,yes,no,True,False,False,547,775
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,11,,yes,no,True,False,False,571,1191
deepseek-r1-distill-qwen-7b,True,respond,3,Respond to the instructions.,0.5,123,2,impersonal,12,,yes,no,True,False,False,836,792
