dilemma_id,temp,seed,step1,unsteer_ans,unsteer_flip,L14_a1.0_ans,L14_a1.0_flip,L14_a2.0_ans,L14_a2.0_flip,L14_a4.0_ans,L14_a4.0_flip,L14_a8.0_ans,L14_a8.0_flip,L21_a1.0_ans,L21_a1.0_flip,L21_a2.0_ans,L21_a2.0_flip,L21_a4.0_ans,L21_a4.0_flip,L21_a8.0_ans,L21_a8.0_flip,L27_a1.0_ans,L27_a1.0_flip,L27_a2.0_ans,L27_a2.0_flip,L27_a4.0_ans,L27_a4.0_flip,L27_a8.0_ans,L27_a8.0_flip
3,0.5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.5,42,yes,yes,False,yes,False,yes,False,yes,False,yes,False,no,True,yes,False,yes,False,no,True,yes,False,yes,False,yes,False,yes,False
11,0.5,42,yes,yes,False,no,True,no,True,yes,False,yes,False,no,True,no,True,yes,False,no,True,,,yes,False,no,True,no,True
15,0.5,42,yes,no,True,no,True,yes,False,yes,False,no,True,yes,False,yes,False,no,True,yes,False,yes,False,yes,False,no,True,yes,False
19,0.5,42,yes,no,True,yes,False,yes,False,yes,False,no,True,,,yes,False,yes,False,no,True,yes,False,yes,False,yes,False,yes,False
21,0.5,42,yes,no,True,no,True,no,True,no,True,no,True,no,True,no,True,no,True,no,True,no,True,no,True,yes,False,no,True
22,0.5,42,yes,yes,False,yes,False,yes,False,no,True,yes,False,yes,False,yes,False,yes,False,yes,False,no,True,yes,False,yes,False,yes,False
23,0.5,42,yes,yes,False,yes,False,yes,False,,,yes,False,yes,False,yes,False,no,True,yes,False,yes,False,yes,False,yes,False,yes,False
24,0.5,42,yes,yes,False,,,yes,False,yes,False,,,yes,False,yes,False,yes,False,yes,False,,,yes,False,yes,False,yes,False
29,0.5,42,yes,no,True,yes,False,yes,False,no,True,yes,False,yes,False,yes,False,yes,False,,,no,True,yes,False,no,True,no,True
36,0.5,42,yes,no,True,yes,False,yes,False,no,True,yes,False,no,True,no,True,yes,False,yes,False,no,True,yes,False,no,True,yes,False
39,0.5,42,yes,no,True,no,True,yes,False,no,True,yes,False,no,True,no,True,yes,False,yes,False,yes,False,yes,False,no,True,yes,False
41,0.5,42,yes,yes,False,no,True,no,True,yes,False,yes,False,yes,False,yes,False,yes,False,no,True,,,yes,False,yes,False,yes,False
43,0.5,42,yes,no,True,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False
49,0.5,42,yes,no,True,yes,False,,,no,True,no,True,yes,False,no,True,no,True,yes,False,no,True,yes,False,no,True,yes,False
52,0.5,42,yes,no,True,yes,False,yes,False,yes,False,no,True,yes,False,yes,False,yes,False,yes,False,no,True,yes,False,yes,False,no,True
3,0.5,123,yes,no,True,yes,False,no,True,no,True,no,True,no,True,no,True,no,True,no,True,no,True,no,True,no,True,no,True
8,0.5,123,yes,yes,False,no,True,yes,False,no,True,yes,False,yes,False,yes,False,no,True,no,True,yes,False,yes,False,no,True,yes,False
11,0.5,123,yes,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,,,yes,False,yes,False,,,yes,False,no,True
15,0.5,123,yes,no,True,no,True,no,True,,,yes,False,yes,False,no,True,no,True,yes,False,no,True,no,True,no,True,yes,False
19,0.5,123,yes,,,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,no,True,no,True,yes,False,yes,False,yes,False,yes,False
21,0.5,123,no,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False
22,0.5,123,yes,yes,False,yes,False,yes,False,yes,False,yes,False,no,True,yes,False,yes,False,no,True,yes,False,yes,False,no,True,yes,False
23,0.5,123,yes,yes,False,yes,False,yes,False,,,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False
24,0.5,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.5,123,yes,no,True,yes,False,yes,False,no,True,no,True,no,True,no,True,yes,False,no,True,no,True,yes,False,no,True,yes,False
36,0.5,123,yes,no,True,no,True,no,True,,,yes,False,yes,False,no,True,no,True,yes,False,no,True,no,True,no,True,no,True
39,0.5,123,yes,yes,False,yes,False,yes,False,no,True,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,no,True,,
41,0.5,123,yes,no,True,yes,False,yes,False,yes,False,yes,False,no,True,yes,False,yes,False,yes,False,no,True,yes,False,no,True,no,True
43,0.5,123,yes,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,no,True,yes,False,no,True
49,0.5,123,no,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True
52,0.5,123,yes,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False,yes,False
