model,is_reasoning,persona_name,persona_index,system_prompt,temperature,seed,run,dilemma_id,dilemma_category,step1_answer,step2_answer,flipped,step1_parse_failed,step2_parse_failed,step1_thinking_length,step2_thinking_length
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,1,,yes,yes,False,False,False,698,898
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,2,,yes,yes,False,False,False,519,792
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,3,,yes,yes,False,False,False,1206,549
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,4,,yes,,,False,True,1042,1280
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,5,,yes,yes,False,False,False,830,595
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,6,,yes,yes,False,False,False,816,671
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,7,,yes,no,True,False,False,606,618
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,8,,yes,yes,False,False,False,614,753
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,9,,yes,no,True,False,False,829,872
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,10,,yes,no,True,False,False,715,422
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,11,,yes,yes,False,False,False,445,697
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,12,,yes,yes,False,False,False,576,759
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,13,,yes,yes,False,False,False,962,584
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,14,,yes,yes,False,False,False,585,816
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,15,,yes,,,False,True,400,1286
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,16,,yes,no,True,False,False,820,876
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,17,,yes,,,False,True,361,1272
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,18,,yes,no,True,False,False,552,442
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,19,,yes,yes,False,False,False,463,704
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,20,,yes,yes,False,False,False,506,426
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,21,,no,yes,True,False,False,543,485
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,22,,yes,no,True,False,False,735,850
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,23,,yes,yes,False,False,False,673,613
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,24,,yes,yes,False,False,False,931,568
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,25,,yes,no,True,False,False,417,595
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,26,,yes,yes,False,False,False,556,744
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,27,,yes,yes,False,False,False,979,691
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,28,,yes,yes,False,False,False,471,584
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,29,,yes,no,True,False,False,530,667
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,30,,yes,yes,False,False,False,586,897
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,31,,yes,yes,False,False,False,520,782
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,32,,yes,no,True,False,False,362,420
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,33,,no,yes,True,False,False,524,737
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,34,,yes,yes,False,False,False,473,771
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,35,,yes,yes,False,False,False,450,1139
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,36,,yes,yes,False,False,False,776,486
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,37,,yes,yes,False,False,False,1210,740
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,38,,yes,no,True,False,False,447,1027
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,39,,yes,yes,False,False,False,667,606
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,40,,yes,yes,False,False,False,489,511
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,41,,yes,yes,False,False,False,426,631
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,42,,,,,True,True,1279,0
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,43,,yes,yes,False,False,False,701,1077
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,44,,yes,yes,False,False,False,778,460
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,45,,yes,yes,False,False,False,688,463
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,46,,yes,no,True,False,False,695,1050
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,47,,no,no,False,False,False,433,542
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,48,,yes,,,False,True,797,1278
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,49,,yes,yes,False,False,False,362,499
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,50,,yes,yes,False,False,False,518,802
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,51,,yes,,,False,True,595,1269
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,42,1,52,,yes,no,True,False,False,444,816
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,1,,yes,no,True,False,False,445,576
deepseek-r1-distill-qwen-7b,True,empty,1,,0.5,123,2,2,,yes,yes,False,False,False,666,1118
