Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,1,,0.5,1,3.8,3.44,4.5,3.11,2.5
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,1,,0.5,2,4.0,3.44,3.88,3.11,3.38
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,1,,0.5,3,4.2,2.67,3.62,3.22,3.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,1,,0.6,1,4.0,3.78,3.25,3.11,2.62
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,1,,0.6,2,3.7,3.44,4.0,4.0,3.12
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,1,,0.6,3,4.3,3.44,3.12,3.44,2.5
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,1,,0.7,1,3.9,3.44,4.0,3.11,2.62
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,1,,0.7,2,3.8,3.56,3.5,3.67,2.62
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,1,,0.7,3,3.7,3.56,3.88,3.33,2.38
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,2,You are a helpful assistant.,0.5,1,3.7,3.56,3.88,3.44,2.75
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,2,You are a helpful assistant.,0.5,2,3.9,3.22,3.62,3.11,2.62
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,2,You are a helpful assistant.,0.5,3,3.6,3.56,3.5,3.11,3.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,2,You are a helpful assistant.,0.6,1,3.5,3.33,3.12,3.22,2.62
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,2,You are a helpful assistant.,0.6,2,3.5,3.33,3.25,3.0,2.12
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,2,You are a helpful assistant.,0.6,3,3.2,3.44,3.62,3.56,2.75
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,2,You are a helpful assistant.,0.7,1,3.5,3.22,3.5,3.67,3.25
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,2,You are a helpful assistant.,0.7,2,3.8,3.67,3.0,3.22,2.75
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,2,You are a helpful assistant.,0.7,3,3.6,3.33,3.5,3.11,3.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,3,Respond to the instructions.,0.5,1,3.3,3.33,3.12,3.44,3.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,3,Respond to the instructions.,0.5,2,3.7,3.67,3.75,3.44,2.62
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,3,Respond to the instructions.,0.5,3,3.8,3.22,2.88,3.22,3.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,3,Respond to the instructions.,0.6,1,3.6,3.78,3.12,3.56,3.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,3,Respond to the instructions.,0.6,2,3.7,3.56,3.12,3.56,3.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,3,Respond to the instructions.,0.6,3,3.7,3.89,3.5,3.22,3.12
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,3,Respond to the instructions.,0.7,1,3.8,3.78,2.88,2.67,3.25
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,3,Respond to the instructions.,0.7,2,3.7,3.33,3.75,3.22,3.12
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,baseline,3,Respond to the instructions.,0.7,3,3.7,3.11,3.62,3.44,3.0
